College,Course Code,Course Name
CASS,BA-ENG,BA IN ENGLISH
CASS,BA-FIL,BA IN FILIPINO
CASS,BA-HIST,BA IN HISTORY
CASS,BA-POLSCI,BA IN POLITICAL SCIENCE
CASS,BSPSYCH,BS IN PSYCHOLOGY
CASS,GEP,GENERAL EDUCATION PROGRAM
CBAA,BSA,BS IN ACCOUNTANCY
CBAA,BSBA-BE,BS IN BUSINESS ADMINISTRATION (BUSINESS ECONOMICS)
CBAA,BSBA-ECON,BS IN BUSINESS ADMINISTRATION (ECONOMICS)
CBAA,BSBA-EM,BS IN BUSINESS ADMINISTRATION (ENTREPRENEURIAL MARKETING)
CBAA,BSHRM,BS IN HOTEL AND RESTAURANT MANAGEMENT
CCS,BSCS,BS IN COMPUTER SCIENCE
CCS,BSECT-CS,BS IN ELECTRONICS AND COMPUTER TECHNOLOGY (COMMUNICATIONS SYSTEM)
CCS,BSECT-ES,BS IN ELECTRONICS AND COMPUTER TECHNOLOGY (EMBEDDED SYSTEMS)
CCS,BSIS,BS IN INFORMATION SYSTEMS
CCS,BSIT,BS IN INFORMATION TECHNOLOGY
CCS,DIP-EET-CE,DIPLOMA IN ELECTRONICS ENGINEERING TECH (Computer Electronics)
CCS,DIP-EET-CO,DIPLOMA IN ELECTRONICS ENGINEERING TECH (Communication Electronics)
CCS,DIP-ET,DIPLOMA IN ELECTRONICS TECHNOLOGY
CED,BEE-ENG,BACHELOR OF ELEMENTARY EDUCATION (ENGLISH)
CED,BEE-SH,BACHELOR OF ELEMENTARY EDUCATION (SCIENCE AND HEALTH)
CED,BSE-BIO,BACHELOR OF SECONDARY EDUCATION (BIOLOGY)
CED,BSE-CHEM,BACHELOR OF SECONDARY EDUCATION (CHEMISTRY)
CED,BSE-GS,BACHELOR OF SECONDARY EDUCATION (GENERAL SCIENCE)
CED,BSE-MAPEH,BACHELOR OF SECONDARY EDUCATION (MAPEH)
CED,BSE-MATH,BACHELOR OF SECONDARY EDUCATION (MATHEMATICS)
CED,BSE-PHYS,BACHELOR OF SECONDARY EDUCATION (PHYSICS)
CED,BSE-TLE,BACHELOR OF SECONDARY EDUCATION (TLE)
CED,BSIE-DR,BS IN INDUSTRIAL EDUCATION (DRAFTING)
CED,BSTE-DT,BS IN TECHNOLOGY TEACHER EDUCATION (DRAFTING TECH)
CED,BSTE-IT,BS IN TECHNOLOGY TEACHER EDUCATION (INDUSTRIAL TECH)
CED,CPT,Certificate Program for Teachers
CHS,BSN,BS IN NURSING
COET,BSCE,BS IN CIVIL ENGINEERING
COET,BSCERE,BS IN CERAMICS ENGINEERING
COET,BSCHE,BS IN CHEMICAL ENGINEERING
COET,BSCPE,BS IN COMPUTER ENGINEERING
COET,BSECE,BS IN ELECTRONICS & COMMUNICATIONS ENGINEERING
COET,BSEE,BS IN ELECTRICAL ENGINEERING
COET,BSEET,BS IN ENVIRONMENTAL ENGINEERING TECHNOLOGY
COET,BSME,BS IN MINING ENG'G.
COET,BSME,BS IN MECHANICAL ENGINEERING
COET,BSMETE,BS IN METALLURGICAL ENGINEERING
COET,DIP-CHET,DIPLOMA IN CHEMICAL ENGINEERING TECHNOLOGY
CSM,BSBIO-BO,BS IN BIOLOGY (BOTANY)
CSM,BSBIO-GE,BS IN BIOLOGY (GENERAL)
CSM,BSBIO-MA,BS IN BIOLOGY (MARINE)
CSM,BSBIO-ZO,BS IN BIOLOGY (ZOOLOGY)
CSM,BSCHEM,BS IN CHEMISTRY
CSM,BSMATH,BS IN MATHEMATICS
CSM,BSPHYS,BS IN PHYSICS
CSM,BSSTAT,BS IN STATISTICS
TESTHELLPOr,TEST2156,Test222
